,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Short Term Investments,Inventories,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Taxes Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","General Allowance for Receivables and Write Offs, Current","Other Receivables, Current","Prepayments and Deposits, Current","Deferred Tax Assets, Current","Deferred Costs/Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment","Furniture, Fixtures and Office Equipment","Leased Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Software and Technology,Licenses and Rights,Research and Development,Customer Relationships,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Software and Technology,Accumulated Amortization of Licences and Rights,Accumulated Amortization of Research and Development,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,"Deferred Tax Assets, Non-Current",Other Non-Current Assets,"Prepayments and Deposits, Non-Current","Prepayments, Non-Current","Deferred Costs/Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank/Credit Facilities, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current","Provisions, Current","Provision for Employee Entitlements, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Capital Lease Obligations, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current","Other Deferred Liabilities, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Taxes Payable, Non-Current","Accrued Expenses, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, with Par Value",Preferred Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due Beyond,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due in Year 5,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 5,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 3
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,5396.41,1682.59,1048.36,1048.36,0.0,,499.4,451.14,456.31,-5.17,48.26,,,,134.84,,,3713.82,266.01,838.05,242.91,20.41,68.88,153.62,595.14,595.14,,-572.04,-572.04,2960.82,3873.17,2706.97,1166.2,25.33,647.98,174.62,39.47,278.81,,-912.36,-912.36,-912.36,-17.4,-526.8,-172.18,-29.09,-166.89,,243.99,222.84,20.16,20.16,,2116.69,1614.11,539.66,59.77,19.95,39.81,479.89,9.92,9.92,9.92,,,,1064.53,1064.53,,,502.58,134.06,134.06,134.06,134.06,,280.79,83.25,197.54,33.24,33.24,33.24,,54.49,3279.72,3275.62,1197.73,1623.93,1.51,,0.0,1622.43,-426.21,2143.87,-65.98,4.1,144.38,10.31,,14.06,17.81,27.19,75.0,340.66,53.9,48.14,36.54,29.61,25.76,146.71,,340.66,53.9,48.14,36.54,29.61,25.76,146.71,,661.07,172.41,62.2,121.34,56.8,101.62,146.71,,176.03,108.19,66.98,0.86,,,
2018,6145.97,1543.8,723.12,723.12,,122.41,630.74,554.22,559.83,-5.61,76.53,,,,67.53,,,4602.18,309.31,935.99,270.8,18.85,68.52,183.43,665.19,665.19,,-626.68,-626.68,3503.65,4538.82,3143.25,1395.57,42.93,773.15,183.95,37.02,358.52,,-1035.17,-1035.17,-1035.17,-21.94,-598.96,-177.19,-32.69,-204.38,,404.17,246.74,138.31,138.31,,2660.96,2102.42,605.78,112.5,85.05,27.46,493.28,343.77,343.77,343.77,,,,1152.86,1152.86,,,558.54,125.54,125.54,125.54,,,329.02,116.86,212.17,50.59,50.59,50.59,,53.4,3485.02,3479.15,1048.64,1646.32,1.49,,0.0,1644.83,-597.68,2543.69,-113.18,5.86,134.06,14.06,,17.81,27.19,75.0,,,,,,,,,,,,,,,,,,134.06,14.06,17.81,27.19,75.0,,,,,,,,,,
2019,6405.16,1738.92,728.6,728.6,,141.52,578.75,553.9,562.94,-9.05,24.86,,,,290.05,,,4666.24,429.53,1112.88,361.54,18.85,68.71,273.99,751.34,751.34,,-683.35,-683.35,3450.55,4590.0,3171.18,1418.82,42.93,791.65,184.3,41.28,358.66,,-1139.44,-1139.44,-1139.44,-25.58,-655.12,-181.12,-35.56,-242.06,,390.13,380.53,15.5,15.5,,2316.28,1752.45,522.36,35.72,19.82,15.9,486.64,17.61,17.61,17.61,,,,1212.48,1212.48,,,563.83,120.09,120.09,120.09,,,339.92,90.1,249.82,29.91,29.91,29.91,,73.9,4088.88,4083.01,1011.32,1636.96,1.5,,0.0,1635.46,-625.64,3164.14,-92.45,5.86,120.0,17.81,,27.19,75.0,,,,,,,,,,,,,,,,,,,120.0,17.81,27.19,75.0,,,,,,,,,,,
2020,8030.06,2549.22,1235.65,1235.65,,192.33,813.06,758.34,,,32.36,50.93,-28.56,,308.17,,,5480.85,949.64,1719.17,392.54,19.97,129.75,242.83,860.81,860.81,465.82,-769.53,-769.53,3619.44,4854.43,3365.11,1489.31,43.1,827.23,192.81,45.34,380.84,,-1234.99,-1234.99,-1234.99,-28.72,-703.01,-186.76,-39.29,-277.22,,497.55,405.95,8.28,8.28,,3117.7,2139.92,651.4,57.74,30.0,27.74,593.66,100.26,100.26,27.08,,73.17,73.17,1388.26,1388.26,,,977.77,563.23,563.23,100.82,,462.41,374.59,104.85,269.74,25.18,25.18,25.18,,14.77,4912.37,4907.4,1166.08,1654.69,1.53,,0.0,1653.17,-488.61,3795.4,-54.07,4.96,102.19,27.19,,75.0,,,,535.58,84.53,79.89,64.07,59.75,53.28,259.97,-65.91,535.58,84.53,79.89,64.07,59.75,53.28,259.97,-65.91,1085.13,411.6,154.89,211.56,59.75,53.28,259.97,-65.91,447.36,299.88,147.48,,,,
2021,8752.26,2808.34,1580.79,1432.84,147.95,229.02,600.91,563.59,,,32.41,35.59,-30.68,,397.62,,,5943.92,965.65,1770.0,390.96,19.97,134.93,236.06,885.79,885.79,493.25,-804.35,-804.35,3854.92,5174.77,3575.79,1598.98,43.1,911.9,193.32,46.1,404.57,,-1319.85,-1319.85,-1319.85,-31.16,-748.76,-188.23,-43.35,-308.36,,612.66,510.7,,,,3453.32,2413.48,741.19,73.86,27.41,46.44,667.34,154.67,154.67,74.99,,79.68,79.68,1517.62,1517.62,,,1039.83,512.1,512.1,25.09,,487.0,480.12,136.3,343.82,27.89,27.89,27.89,,19.72,5298.94,5295.14,795.03,1577.89,1.53,,0.0,1576.36,-782.87,4549.71,-49.6,3.81,100.09,75.0,25.09,,,,,566.68,89.89,83.06,76.76,65.43,55.65,243.89,-48.01,566.68,89.89,83.06,76.76,65.43,55.65,243.89,-48.01,666.78,164.89,83.06,76.76,65.43,55.65,268.99,-48.01,,,,,,,
