,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Other Receivables, Current","Loans Receivable, Current","Prepayments and Deposits, Current",Total Non-Current Assets,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank Overdraft, Current Debt","Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Convertible Loans/Debentures, Current Portion of LT Debt",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Convertible Debentures/Loans, Non-Current","Borrowings from Associates and Related Parties, Non-Current","Other Loans, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,0.32,0.32,0.0,0.0,0.0,0.28,0.0,0.28,0.03,0.0,0.0,0.0,0.0,0.86,0.39,0.39,0.09,0.09,0.29,0.0,0.0,0.0,0.0,,,,,0.47,0.47,0.47,0.47,,0.18,0.29,-0.54,-0.54,0.62,0.62,0.19,0.43,-1.17
2019,0.25,0.25,0.24,0.24,0.24,0.01,0.01,0.0,0.0,0.0,,,,1.03,0.56,0.45,0.07,0.07,0.38,0.11,0.11,0.08,0.0,0.08,0.03,0.03,0.03,0.48,0.48,0.48,0.48,,0.03,0.45,-0.78,-0.78,0.62,0.62,0.19,0.43,-1.4
2020,0.01,0.01,0.0,0.0,0.0,0.01,0.01,,0.0,0.0,,,,1.0,0.78,0.46,0.15,0.15,0.31,0.33,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.21,0.21,0.21,0.21,0.21,,,-0.99,-0.99,0.7,0.7,0.23,0.47,-1.7
2021,0.06,0.06,0.04,0.04,0.04,0.01,0.01,,0.01,0.0,,,,1.18,0.72,0.46,0.02,0.02,0.44,0.26,0.26,0.26,0.0,0.26,,,,0.47,0.47,0.47,0.47,0.46,0.0,0.0,-1.13,-1.13,0.7,0.7,0.23,0.47,-1.83
2022,0.03,0.03,0.0,0.0,0.0,0.03,0.03,,0.0,0.0,,,,1.7,1.7,1.47,1.0,1.0,0.47,0.23,0.23,0.23,0.01,0.23,,,,0.0,0.0,0.0,0.0,0.0,,,-1.67,-1.67,0.7,0.7,0.23,0.47,-2.37
