,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,Other Short Term Investments,"Available-for-Sale Securities, Current","Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Taxes Receivable, Current","Other Receivables, Current","Loans Receivable, Current","Prepayments and Deposits, Current",Other Current Assets,"Derivative Investment and Hedging Assets, Current",Inventories,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Leasehold and Improvements,Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Construction in Progress,"Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Software and Technology,Customer Relationships,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Goodwill,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Other Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current",Long Term Equity Investments,Investments in Associates,"Trade and Other Receivables, Non-Current","Trade/Accounts Receivable, Non-Current","Taxes Receivable, Non-Current","Other Receivables, Non-Current","Loans Receivable, Non-Current","Prepayments and Deposits, Non-Current","Prepayments, Non-Current","Deferred Tax Assets, Non-Current",Other Non-Current Assets,"Derivative Investment and Hedging Assets, Non-Current","Inventories, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,Commercial Paper,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt",Other Current Portion of LT Debt,"Capital Lease Obligations, Current","Other Financial Liabilities, Current","Derivative and Hedging Liabilities, Current","Provisions, Current","Provision for Employee Entitlements, Current","Other Employee-Related Liabilities, Current","Pension and Other Post-Retirement Benefit Plans, Current","Other Provisions, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Bank/Institutional Loans, Non-Current","Capital Lease Obligations, Non-Current","Other Financial Liabilities, Non-Current","Derivative and Hedging Liabilities, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Employee-Related Liabilities, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current","Taxes Payable, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Other Equity Interest,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 3,Capital Lease due in Year 4,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due Beyond,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 3,Operating Lease due in Year 5,Operating Lease due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,42497.0,11930.0,4050.0,4011.0,,,39.0,0.0,39.0,7207.0,5809.0,515.0,90.0,793.0,264.0,253.0,158.0,,30567.0,2967.0,2967.0,1162.0,1162.0,,213.0,,1592.0,,,,,,24241.0,28792.0,21374.0,7418.0,2801.0,4617.0,-4551.0,-4551.0,-100.0,-4451.0,-2145.0,-2306.0,859.0,827.0,,827.0,827.0,32.0,32.0,820.0,1.0,443.0,116.0,260.0,123.0,123.0,1022.0,497.0,36.0,,16957.0,10210.0,2117.0,2117.0,952.0,1165.0,1561.0,1298.0,,,1298.0,1298.0,24.0,1274.0,,205.0,57.0,3564.0,3380.0,3380.0,0.0,184.0,2829.0,2829.0,141.0,6747.0,5034.0,5002.0,5002.0,5002.0,0.0,,2.0,29.0,806.0,639.0,503.0,136.0,167.0,240.0,240.0,79.0,79.0,470.0,470.0,0.0,470.0,119.0,25540.0,25509.0,208.0,1799.0,1229.0,570.0,-1591.0,24794.0,508.0,31.0,6508.0,1554.0,834.0,957.0,58.0,429.0,3102.0,-426.0,,,,,,,,,,,,,,,,,,,,,,6508.0,1554.0,834.0,957.0,58.0,429.0,3102.0,-426.0,,,,,
2018,51491.0,16620.0,9075.0,8627.0,2918.0,5709.0,448.0,448.0,,6655.0,6182.0,293.0,180.0,,,889.0,,,34871.0,3553.0,3553.0,1344.0,1344.0,,224.0,,1985.0,,,,,,26952.0,32213.0,23827.0,8386.0,3174.0,5212.0,-5261.0,-5261.0,-102.0,-5159.0,-2454.0,-2705.0,1536.0,1536.0,1536.0,,,,,515.0,6.0,397.0,112.0,,,,1015.0,1301.0,,,22614.0,10481.0,2097.0,2097.0,1486.0,611.0,1125.0,768.0,,,768.0,768.0,9.0,759.0,,357.0,,110.0,,,,,3028.0,3028.0,4120.0,12133.0,10553.0,10535.0,10535.0,10486.0,49.0,,18.0,,270.0,,,,,97.0,97.0,88.0,88.0,624.0,624.0,129.0,495.0,501.0,28877.0,28832.0,192.0,1772.0,1229.0,543.0,-1580.0,27407.0,1234.0,45.0,11678.0,1149.0,1585.0,622.0,1410.0,1097.0,6689.0,-874.0,,,,,,,,,2894.0,1074.0,159.0,1147.0,514.0,1442.0,351.0,,494.0,,261.0,336.0,,16014.0,2574.0,1585.0,2263.0,1410.0,1872.0,7184.0,-874.0,1442.0,351.0,494.0,261.0,336.0
2019,60215.0,15213.0,5611.0,5314.0,2877.0,2437.0,297.0,297.0,,8413.0,7561.0,506.0,346.0,,,1188.0,,,45002.0,5496.0,5496.0,3466.0,1537.0,1929.0,36.0,,1994.0,,,,,,33653.0,39359.0,29263.0,10096.0,3681.0,6415.0,-5706.0,-5706.0,-101.0,-5605.0,-2629.0,-2976.0,2336.0,2336.0,2336.0,,,,,564.0,21.0,435.0,108.0,,,,1251.0,1701.0,,,29393.0,14462.0,1836.0,1836.0,1581.0,255.0,3273.0,2531.0,1100.0,1100.0,1431.0,1431.0,22.0,1409.0,,742.0,,268.0,,,,,4266.0,4266.0,4818.0,14931.0,12923.0,11139.0,11139.0,9139.0,2000.0,,1784.0,,478.0,,,,,82.0,82.0,89.0,89.0,546.0,546.0,8.0,538.0,814.0,30822.0,30746.0,194.0,1774.0,1229.0,545.0,-1580.0,28783.0,1770.0,76.0,13993.0,2888.0,630.0,3414.0,1095.0,1231.0,5467.0,-732.0,2203.0,431.0,363.0,284.0,224.0,190.0,1019.0,-308.0,3727.0,1512.0,243.0,1544.0,428.0,2203.0,431.0,363.0,284.0,224.0,190.0,1019.0,-308.0,19923.0,4831.0,993.0,5242.0,1319.0,1849.0,6729.0,-1040.0,,,,,
2020,58472.0,15069.0,6946.0,5311.0,2732.0,2579.0,1635.0,1635.0,,6804.0,6199.0,210.0,395.0,,,1321.0,,,43402.0,5041.0,5041.0,3273.0,1457.0,1816.0,41.0,,1727.0,,,,,,31344.0,37054.0,27658.0,9396.0,3358.0,6038.0,-5710.0,-5710.0,-98.0,-5612.0,-2566.0,-3046.0,3512.0,3512.0,3512.0,,,,,407.0,33.0,271.0,103.0,,,,1173.0,1926.0,,,28544.0,12842.0,1627.0,1627.0,1213.0,414.0,2348.0,1482.0,930.0,930.0,552.0,552.0,52.0,500.0,,866.0,,73.0,,,,,4150.0,4150.0,4643.0,15702.0,13605.0,11801.0,11801.0,10551.0,1250.0,,1804.0,,368.0,,,,,158.0,158.0,36.0,36.0,765.0,765.0,98.0,667.0,770.0,29928.0,29717.0,-1298.0,1774.0,1229.0,545.0,-3072.0,32026.0,-1011.0,211.0,13770.0,1982.0,2640.0,1700.0,1211.0,918.0,5933.0,-614.0,2120.0,426.0,359.0,262.0,218.0,165.0,931.0,-241.0,4867.0,1275.0,652.0,1927.0,1013.0,2120.0,426.0,359.0,262.0,218.0,165.0,931.0,-241.0,20757.0,3683.0,2999.0,3889.0,1429.0,2096.0,7516.0,-855.0,,,,,
2021,71169.0,20044.0,11656.0,8898.0,3149.0,5748.0,2758.0,2758.0,,6974.0,5887.0,622.0,465.0,,588.0,826.0,,,51125.0,4977.0,4977.0,3410.0,1609.0,1801.0,77.0,40.0,1450.0,,,,,,35056.0,41755.0,31191.0,10564.0,3829.0,6735.0,-6699.0,-6699.0,-101.0,-6598.0,-2939.0,-3659.0,6275.0,6275.0,6275.0,,,,,463.0,1.0,316.0,146.0,,242.0,242.0,1779.0,2333.0,,,29646.0,16136.0,2530.0,2530.0,1580.0,950.0,4528.0,4167.0,931.0,931.0,3236.0,2829.0,1533.0,1296.0,407.0,361.0,,4645.0,4556.0,4556.0,,89.0,4431.0,4431.0,,13510.0,11042.0,10980.0,9244.0,9244.0,,1736.0,62.0,,1215.0,860.0,860.0,,355.0,291.0,291.0,13.0,13.0,949.0,949.0,122.0,827.0,,41523.0,38853.0,75.0,3147.0,1229.0,1918.0,-3072.0,37022.0,1757.0,2670.0,13881.0,4084.0,1695.0,1228.0,936.0,1165.0,4773.0,,2375.0,448.0,338.0,263.0,208.0,184.0,934.0,,1232.0,1165.0,67.0,,,2375.0,448.0,338.0,263.0,208.0,184.0,934.0,,17488.0,5697.0,2033.0,1491.0,1144.0,1349.0,5774.0,,,,,,
